idSubmercado;AttMatriz;Iteradores;1;2;3
2;percentual_variacao_patamar_carga;01/01/21;1.2377;1.0756;0.8654
2;percentual_variacao_patamar_carga;02/01/21;1.2206;1.067;0.8665
2;percentual_variacao_patamar_carga;03/01/21;1.2139;1.0788;0.8416
2;percentual_variacao_patamar_carga;04/01/21;1.222;1.0886;0.8373
2;percentual_variacao_patamar_carga;05/01/21;1.2092;1.0827;0.8135
2;percentual_variacao_patamar_carga;06/01/21;1.2009;1.0853;0.8084
2;percentual_variacao_patamar_carga;07/01/21;1.1964;1.0802;0.8097
2;percentual_variacao_patamar_carga;08/01/21;1.2003;1.0819;0.8059
2;percentual_variacao_patamar_carga;09/01/21;1.2074;1.1006;0.828
2;percentual_variacao_patamar_carga;10/01/21;1.2214;1.1038;0.8387
2;percentual_variacao_patamar_carga;11/01/21;1.2344;1.1004;0.8471
2;percentual_variacao_patamar_carga;12/01/21;1.2048;1.0767;0.8476
2;percentual_variacao_patamar_carga;01/01/22;1.2322;1.0731;0.8585
2;percentual_variacao_patamar_carga;02/01/22;1.2146;1.0635;0.8597
2;percentual_variacao_patamar_carga;03/01/22;1.223;1.0836;0.846
2;percentual_variacao_patamar_carga;04/01/22;1.2289;1.0927;0.8437
2;percentual_variacao_patamar_carga;05/01/22;1.1979;1.0755;0.8106
2;percentual_variacao_patamar_carga;06/01/22;1.2008;1.0855;0.8084
2;percentual_variacao_patamar_carga;07/01/22;1.2075;1.0878;0.8126
2;percentual_variacao_patamar_carga;08/01/22;1.1891;1.0742;0.8034
2;percentual_variacao_patamar_carga;09/01/22;1.207;1.1007;0.8282
2;percentual_variacao_patamar_carga;10/01/22;1.2219;1.1052;0.8378
2;percentual_variacao_patamar_carga;11/01/22;1.2344;1.1004;0.8471
2;percentual_variacao_patamar_carga;12/01/22;1.2063;1.0765;0.858
2;percentual_variacao_patamar_carga;01/01/23;1.2213;1.0658;0.8567
2;percentual_variacao_patamar_carga;02/01/23;1.2206;1.067;0.8665
2;percentual_variacao_patamar_carga;03/01/23;1.2134;1.0779;0.8424
2;percentual_variacao_patamar_carga;04/01/23;1.2409;1.1001;0.8464
2;percentual_variacao_patamar_carga;05/01/23;1.1972;1.0751;0.8113
2;percentual_variacao_patamar_carga;06/01/23;1.2006;1.0854;0.8086
2;percentual_variacao_patamar_carga;07/01/23;1.2088;1.088;0.8116
2;percentual_variacao_patamar_carga;08/01/23;1.1883;1.074;0.8042
2;percentual_variacao_patamar_carga;09/01/23;1.2135;1.1048;0.8348
2;percentual_variacao_patamar_carga;10/01/23;1.2159;1.1022;0.8307
2;percentual_variacao_patamar_carga;11/01/23;1.2344;1.1004;0.8471
2;percentual_variacao_patamar_carga;12/01/23;1.226;1.0896;0.8633
2;percentual_variacao_patamar_carga;01/01/24;1.2207;1.065;0.8574
2;percentual_variacao_patamar_carga;02/01/24;1.2177;1.0651;0.8653
2;percentual_variacao_patamar_carga;03/01/24;1.2402;1.0934;0.8556
2;percentual_variacao_patamar_carga;04/01/24;1.2011;1.0765;0.831
2;percentual_variacao_patamar_carga;05/01/24;1.206;1.0811;0.8165
2;percentual_variacao_patamar_carga;06/01/24;1.2117;1.0922;0.8126
2;percentual_variacao_patamar_carga;07/01/24;1.1917;1.0755;0.8006
2;percentual_variacao_patamar_carga;08/01/24;1.1939;1.0788;0.8123
2;percentual_variacao_patamar_carga;09/01/24;1.2133;1.1048;0.8225
2;percentual_variacao_patamar_carga;10/01/24;1.1971;1.0913;0.8231
2;percentual_variacao_patamar_carga;11/01/24;1.2344;1.1004;0.8471
2;percentual_variacao_patamar_carga;12/01/24;1.2225;1.0878;0.8551
3;percentual_variacao_patamar_carga;01/01/20;1.1094;1.0395;0.9253
3;percentual_variacao_patamar_carga;02/01/20;1.1097;1.0518;0.9279
3;percentual_variacao_patamar_carga;03/01/20;1.0967;1.0611;0.9194
3;percentual_variacao_patamar_carga;04/01/20;1.0992;1.0663;0.9154
3;percentual_variacao_patamar_carga;05/01/20;1.0973;1.0483;0.9158
3;percentual_variacao_patamar_carga;06/01/20;1.0867;1.0408;0.9156
3;percentual_variacao_patamar_carga;07/01/20;1.0842;1.0378;0.9103
3;percentual_variacao_patamar_carga;08/01/20;1.0948;1.0466;0.9117
3;percentual_variacao_patamar_carga;09/01/20;1.0987;1.0619;0.9116
3;percentual_variacao_patamar_carga;10/01/20;1.0995;1.0528;0.9194
3;percentual_variacao_patamar_carga;11/01/20;1.1194;1.0488;0.9233
