;prod;prod_acum
1;0.344865851;4.876517942
2;0.329098671;4.601055952
3;0.680274821;4.271957281
4;0.504364099;3.326344838
5;0.414102316;2.821980739
6;0.648347999;4.082816663
7;0.233314114;1.69853664
8;0.350417556;3.434468664
9;0.095897912;1.231908412
10;0.177703634;5.291374012
11;0.237152436;5.113670378
12;0.824392986;4.531652091
13;0.384044436;3.707259105
14;0.546349914;3.323214669
15;0.405967543;2.776864755
16;0.15051877;2.370897212
17;0.244677307;2.220378442
18;0.181742351;1.975701135
19;0.82943431;3.581763637
20;0.746649806;2.752329327
21;0.211720737;2.005679521
22;0.508562489;1.793958784
23;0.510137581;1.285396295
24;1.183804037;3.59168246
25;0.975496209;4.909226563
26;0.607385516;3.933730354
27;0.676172685;3.084051108
28;0.713362488;2.407878423
29;0.242157877;1.694515935
30;0.677099344;1.452358058
31;0.180383484;1.839914595
32;0.187860739;1.659531111
33;0.199548226;1.471670372
34;0.224473923;1.272122146
35;0.292387128;1.047648223
36;0.402990174;0.775258714
37;0.199580117;0.37226854
38;0.172688423;0.172688423
39;0.309379275;2.007915915
40;0.233314114;1.465222526
41;0.30891371;1.1360105
42;0.145790316;0.82709679
43;0.129747108;0.681306474
44;0.151775486;0.551559366
45;0.215157501;0.39978388
46;0.184626379;0.184626379
47;1.163464203;4.449458765
48;0.141780804;0.141780804
49;1.001909042;3.285994562
50;0.936181158;2.28408552
51;0.640073312;1.347904362
52;0.566050246;0.70783105
53;0.382992555;0.755261095
