;MES;ANO;1;2;3;4;5;6
140;9;1942;854;840;304;931;1397;857
141;10;1942;914;910;272;1040;1627;801
142;11;1942;1588;1655;299;519;1325;541
143;12;1942;2266;2635;682;426;1628;759
144;1;1943;4996;6847;814;422;2427;871
145;2;1943;5076;6296;1031;672;2108;1292
146;3;1943;4638;5582;1021;549;2226;1230
147;4;1943;2763;3059;585;352;1663;784
148;5;1943;1873;1868;358;439;1335;548
149;6;1943;1525;1709;334;1505;1460;629
150;7;1943;1231;1375;278;989;1071;511
151;8;1943;1049;977;243;1405;965;434
152;9;1943;916;890;287;1181;962;572
153;10;1943;1294;1371;466;1440;1415;1193
154;11;1943;1598;2389;621;1081;1758;1045
155;12;1943;1911;2489;406;561;1828;676
156;1;1944;2161;2215;663;880;1343;1082
157;2;1944;2932;3617;596;549;1553;782
158;3;1944;3619;3477;1154;1268;1832;1558
159;4;1944;2088;2358;515;650;1395;736
160;5;1944;1437;1789;334;326;1121;512
161;6;1944;1105;1207;261;246;1024;435
162;7;1944;923;1019;243;216;888;384
163;8;1944;769;802;199;160;847;326
164;9;1944;672;638;186;373;816;335
165;10;1944;675;684;176;284;854;297
166;11;1944;1071;1773;333;865;1328;479
167;12;1944;1368;1876;303;766;1114;401
168;1;1945;1459;2882;322;306;1547;343
169;2;1945;4599;5749;991;512;2050;1205
170;3;1945;3079;5321;680;796;2211;1254
171;4;1945;3037;5967;430;408;2057;660
172;5;1945;1302;3241;285;273;1619;467
173;6;1945;1118;2091;417;450;1354;883
174;7;1945;1070;1701;602;1533;1430;1522
175;8;1945;783;1274;262;594;980;604
176;9;1945;690;998;221;470;923;475
177;10;1945;719;1285;214;716;1051;485
178;11;1945;1321;2254;459;655;1387;510
179;12;1945;3323;5282;520;691;2055;434
180;1;1946;5895;6670;1072;1339;2212;1054
181;2;1946;3314;4721;1405;4075;2964;3272
182;3;1946;3579;6004;1420;2943;3438;3517
183;4;1946;2852;3772;769;1350;2184;1163
184;5;1946;1739;2458;493;1186;1842;828
185;6;1946;1334;1827;475;1548;1974;1207
186;7;1946;1265;1642;459;2904;2522;1630
187;8;1946;1007;1273;318;1134;1472;820
188;9;1946;799;1117;246;989;1185;614
189;10;1946;1066;1126;346;2126;1568;1175
190;11;1946;1286;1414;355;1450;1323;843
191;12;1946;1465;2424;333;1670;1794;691
192;1;1947;3186;3336;1104;1240;2407;1981
193;2;1947;3805;4160;1553;1688;2229;2596
194;3;1947;6882;7193;2102;1386;2615;2028
195;4;1947;3766;5092;828;934;2362;992
196;5;1947;2264;2525;648;735;1848;946
197;6;1947;1740;1757;497;1672;1592;741
198;7;1947;1547;1421;497;1142;1447;673
199;8;1947;1212;1188;440;1664;1338;838
200;9;1947;1509;982;519;3156;1886;1345
201;10;1947;1387;993;628;2645;1603;2078
202;11;1947;1501;939;408;1099;1545;890
203;12;1947;2655;2755;994;1177;1958;1077
204;1;1948;3388;4343;1297;918;1833;1307
205;2;1948;3886;4093;1604;1416;2046;2179
206;3;1948;4037;4754;1484;1221;1851;1511
207;4;1948;2633;3450;989;935;1547;911
208;5;1948;1727;1568;640;1292;1264;691
209;6;1948;1409;1665;532;1015;1170;641
210;7;1948;1129;1111;419;801;1011;617
211;8;1948;997;953;456;2113;1080;1180
212;9;1948;811;813;328;940;976;620
213;10;1948;884;811;340;1392;1277;652
214;11;1948;1326;762;524;1696;1601;1224
215;12;1948;2200;3148;480;508;1850;593
216;1;1949;2937;3549;676;548;1640;590
217;2;1949;4653;5646;1008;298;2146;618
218;3;1949;3371;4830;810;623;1814;661
219;4;1949;2441;2847;743;1368;1213;616
220;5;1949;1745;2010;520;1084;1350;512
221;6;1949;1190;1612;399;1372;1279;572
222;7;1949;893;1514;347;575;937;383
223;8;1949;724;1259;274;552;885;321
224;9;1949;744;1046;250;636;601;320
225;10;1949;768;1311;237;682;804;320
226;11;1949;1587;1627;301;436;752;334
227;12;1949;2053;2539;930;390;1008;713
228;1;1950;3246;2715;1214;1244;1100;1293
229;2;1950;6077;3708;2137;1171;2296;2013
230;3;1950;4213;3400;1806;1815;2953;1875
231;4;1950;3066;2610;1163;768;1639;982
232;5;1950;2175;1773;822;957;1037;815
233;6;1950;1575;1382;613;650;934;551
234;7;1950;1281;1161;523;789;863;591
235;8;1950;1008;937;388;449;667;401
236;9;1950;827;794;316;573;644;361
237;10;1950;1079;1149;620;2595;989;924
238;11;1950;1931;2628;539;1229;1082;683
239;12;1950;3756;3257;832;861;1165;774
240;1;1951;3816;4359;1350;1018;2613;1488
241;2;1951;5301;4392;1868;1859;3980;1973
242;3;1951;4430;3988;1807;2378;4050;2292
243;4;1951;3461;3303;1047;784;1937;1083
