NUMERO;NOME;SUBSISTEMA;BACIA;JUSANTE_TURBINAS;JUSANTE_VERTIMENTO;USINA_EM_OPERACAO;COMPATIBILIDADE_SPT;CONSIDERAR_USINA;CONSIDERAR_MODIFICACAO;USINA_FIO_DAGUA;HISTORICO_AFLUENCIA;POTENCIA_MAXIMA;FATOR_DE_PODUCAO_MEDIO_POR_METRO;TURBINAMENTO_MAXIMO;DEFLUENCIA_MINIMA;INDISPONIBILIDADE_FORCADA;INDISPONIBILIDADE_PROGRAMADA;NUM_CONJUNTO_DE_MAQUINAS;NUM_MAQUINAS_BASE;NUM_POLINOMIO_JUSANTE;TIPO_DE_PERDAS;VALOR_DAS_PERDAS;VOLUME_MINIMO;VOLUME_MAXIMO;VOLUME_MINIMO_OPERACIONAL;VOLUME_MAXIMO_OPERACIONAL;COTA_MINIMO;COTA_MAXIMO;COTA_MINIMO_OPERACIONAL;COTA_MAXIMO_OPERACIONAL;CANAL_FUGA_MEDIO;VOLUME_INICIAL;POLI_COTA_VOLUME_0;POLI_COTA_VOLUME_1;POLI_COTA_VOLUME_2;POLI_COTA_VOLUME_3;POLI_COTA_VOLUME_4;POLI_COTA_AREA_0;POLI_COTA_AREA_1;POLI_COTA_AREA_2;POLI_COTA_AREA_3;POLI_COTA_AREA_4;EVAPORACAO_01;EVAPORACAO_02;EVAPORACAO_03;EVAPORACAO_04;EVAPORACAO_05;EVAPORACAO_06;EVAPORACAO_07;EVAPORACAO_08;EVAPORACAO_09;EVAPORACAO_10;EVAPORACAO_11;EVAPORACAO_12;POLI_JUSANTE_1_HREF;POLI_JUSANTE_1_COEF_0;POLI_JUSANTE_1_COEF_1;POLI_JUSANTE_1_COEF_2;POLI_JUSANTE_1_COEF_3;POLI_JUSANTE_1_COEF_4;POLI_JUSANTE_2_HREF;POLI_JUSANTE_2_COEF_0;POLI_JUSANTE_2_COEF_1;POLI_JUSANTE_2_COEF_2;POLI_JUSANTE_2_COEF_3;POLI_JUSANTE_2_COEF_4;POLI_JUSANTE_3_HREF;POLI_JUSANTE_3_COEF_0;POLI_JUSANTE_3_COEF_1;POLI_JUSANTE_3_COEF_2;POLI_JUSANTE_3_COEF_3;POLI_JUSANTE_3_COEF_4;POLI_JUSANTE_4_HREF;POLI_JUSANTE_4_COEF_0;POLI_JUSANTE_4_COEF_1;POLI_JUSANTE_4_COEF_2;POLI_JUSANTE_4_COEF_3;POLI_JUSANTE_4_COEF_4;POLI_JUSANTE_5_HREF;POLI_JUSANTE_5_COEF_0;POLI_JUSANTE_5_COEF_1;POLI_JUSANTE_5_COEF_2;POLI_JUSANTE_5_COEF_3;POLI_JUSANTE_5_COEF_4;POLI_JUSANTE_6_HREF;POLI_JUSANTE_6_COEF_0;POLI_JUSANTE_6_COEF_1;POLI_JUSANTE_6_COEF_2;POLI_JUSANTE_6_COEF_3;POLI_JUSANTE_6_COEF_4;CONJUNTO_1_NUM_MAQUINAS;CONJUNTO_1_POTENCIA_REF;CONJUNTO_1_VAZAO_REF;CONJUNTO_1_QUEDA_REF;CONJUNTO_1_TIPO_TURBINA;CONJUNTO_2_NUM_MAQUINAS;CONJUNTO_2_POTENCIA_REF;CONJUNTO_2_VAZAO_REF;CONJUNTO_2_QUEDA_REF;CONJUNTO_2_TIPO_TURBINA;CONJUNTO_3_NUM_MAQUINAS;CONJUNTO_3_POTENCIA_REF;CONJUNTO_3_VAZAO_REF;CONJUNTO_3_QUEDA_REF;CONJUNTO_3_TIPO_TURBINA;CONJUNTO_4_NUM_MAQUINAS;CONJUNTO_4_POTENCIA_REF;CONJUNTO_4_VAZAO_REF;CONJUNTO_4_QUEDA_REF;CONJUNTO_4_TIPO_TURBINA;CONJUNTO_5_NUM_MAQUINAS;CONJUNTO_5_POTENCIA_REF;CONJUNTO_5_VAZAO_REF;CONJUNTO_5_QUEDA_REF;CONJUNTO_5_TIPO_TURBINA;USINA_FIO_DAGUA_OFICIAL
44;CAPIVARA    ;1;6;45;45;1;44;1;1;0;44;619;0.008338;1686;0;0;0;2;2;1;1;1.12;4816;10540;4816;10540;321;334;321;334;285.2;40;297.875;0.00718807;-6.63E-07;3.95E-11;-9.87E-16;11308.2;-543.644;-0.0323012;0.000295981;0;13;20;37;54;77;70;52;44;43;1;-6;15;0;283.463;0.00130832;-6.90E-08;1.68E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;152;414;44;1;1;163;444;44;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;TAQUARUCU   ;1;6;46;46;1;45;1;0;1;45;525;0.009143;2550;0;0;0;1;3;1;1;0.39;677;677;677;677;284;284;284;284;259.08;0;284;0;0;0;0;74.58;0;0;0;0;12;21;33;46;73;65;47;41;41;-6;-7;15;0;257.429;0.00125857;-1.11E-07;6.12E-12;-1.27E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;105;510;22.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
46;ROSANA      ;1;6;-1;-1;1;46;1;0;1;46;354;0.009143;2468;0;0;0;1;2;1;1;0.19;1918;1918;1918;1918;258;258;258;258;237.43;0;258;0;0;0;0;217.66;0;0;0;0;9;18;28;39;69;64;43;38;37;-15;-14;9;0;235.275;0.00159059;-9.21E-08;2.00E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;88.5;617;15.7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
47;G.B. MUNHOZ ;1;4;49;49;1;51;1;0;0;47;1676;0.009025;1376;0;0;0;1;2;1;1;1.31;1974;5779;1974;5779;700;742;700;742;602;50;650.876;0.0349868;-6.50E-06;7.78E-10;-3.95E-14;12303;-359.336;0.0263396;0;0;2;21;41;61;63;56;39;30;7;-17;-19;-10;0;601.886;0.00110583;4.21E-07;-8.31E-11;4.76E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;419;344;135;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;BAIXO IGUACU;1;4;-1;-1;1;56;1;1;1;48;350;0.009025;2502;0;0;0;1;2;1;1;0.11;183;211.92;183;211.92;258;259;258;259;242.55;0;259;0;0;0;0;31.63;0;0;0;0;-38;-10;25;57;79;81;72;61;37;-11;-38;-50;0;240.83;0.0004;-5.00E-09;1.00E-13;-8.00E-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;116.733;834;15.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
49;SEGREDO     ;1;4;50;50;1;52;1;0;0;49;1260;0.009026;1268;0;0;0;1;3;1;1;1.9;2562;2950;2562;2950;602;607;602;607;490;50;552.545;0.0246922;-2.10E-06;0;0;-586.13;0.801997;0.000488253;0;0;6;26;54;76;77;67;47;34;15;-13;-16;-5;0;490.039;6.08E-05;2.92E-07;-2.32E-11;4.56E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;315;317;110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;SLT.SANTIAGO;1;4;51;51;1;53;1;1;0;50;1420;0.008829;1576;0;0;0;1;3;1;1;1.66;2662;6775;2662;6775;481;506;481;506;397.46;50;447.732;0.0182332;-2.87E-06;3.00E-10;-1.27E-14;-9865.2;544.319;-0.0916318;2.07E-05;5.05E-08;8;27;54;76;79;67;47;33;18;-12;-17;-6;0;394.416;0.00211101;-7.92E-08;2.35E-12;-2.71E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;355;394;102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;SALTO OSORIO;1;4;52;52;1;54;1;0;1;51;1078;0.008829;1784;0;0;0;2;4;1;1;2.14;1124;1124;1124;1124;397;397;397;397;324;0;397;0;0;0;0;56;0;0;0;0;9;27;51;69;75;63;43;30;18;-15;-19;-8;0;321.837;0.00228099;-1.40E-07;3.84E-12;-5.36E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;182;301;68.4;1;2;175;290;68.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
52;SALTO CAXIAS;1;4;48;48;1;55;1;1;1;52;1240;0.009026;2100;0;0;0;1;3;1;1;0.6;3573;3573;3573;3573;325;325;325;325;258.7;0;325;0;0;0;0;141.43;0;0;0;0;5;26;49;65;72;61;41;30;17;-18;-26;-15;0;257.92;0.000620838;-1.72E-08;2.28E-13;1.22E-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;310;525;65.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
53;TRES IRMAOS ;1;3;37;37;1;34;1;1;0;53;807;0.008829;2180;0;0;0;1;5;1;1;2.33;9923;13372;9923;13372;323;328;323;328;280;25;2.93E+02;5.50E-03;-3.93E-07;1.73E-11;-3.10E-16;-1.19E+04;2.30E+01;9.94E-02;-5.48E-05;-3.12E-07;16;25;40;60;80;75;64;62;57;17;6;27;0;2.80E+02;-2.20E-04;7.11E-07;-1.71E-10;1.30E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;161.5;436;42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
