NUMERO;NOME;SUBSISTEMA;BACIA;JUSANTE_TURBINAS;JUSANTE_VERTIMENTO;USINA_EM_OPERACAO;COMPATIBILIDADE_SPT;CONSIDERAR_USINA;CONSIDERAR_MODIFICACAO;USINA_FIO_DAGUA;HISTORICO_AFLUENCIA;POTENCIA_MAXIMA;FATOR_DE_PODUCAO_MEDIO_POR_METRO;TURBINAMENTO_MAXIMO;DEFLUENCIA_MINIMA;INDISPONIBILIDADE_FORCADA;INDISPONIBILIDADE_PROGRAMADA;NUM_CONJUNTO_DE_MAQUINAS;NUM_MAQUINAS_BASE;NUM_POLINOMIO_JUSANTE;TIPO_DE_PERDAS;VALOR_DAS_PERDAS;VOLUME_MINIMO;VOLUME_MAXIMO;VOLUME_MINIMO_OPERACIONAL;VOLUME_MAXIMO_OPERACIONAL;COTA_MINIMO;COTA_MAXIMO;COTA_MINIMO_OPERACIONAL;COTA_MAXIMO_OPERACIONAL;CANAL_FUGA_MEDIO;VOLUME_INICIAL;POLI_COTA_VOLUME_0;POLI_COTA_VOLUME_1;POLI_COTA_VOLUME_2;POLI_COTA_VOLUME_3;POLI_COTA_VOLUME_4;POLI_COTA_AREA_0;POLI_COTA_AREA_1;POLI_COTA_AREA_2;POLI_COTA_AREA_3;POLI_COTA_AREA_4;EVAPORACAO_01;EVAPORACAO_02;EVAPORACAO_03;EVAPORACAO_04;EVAPORACAO_05;EVAPORACAO_06;EVAPORACAO_07;EVAPORACAO_08;EVAPORACAO_09;EVAPORACAO_10;EVAPORACAO_11;EVAPORACAO_12;POLI_JUSANTE_1_HREF;POLI_JUSANTE_1_COEF_0;POLI_JUSANTE_1_COEF_1;POLI_JUSANTE_1_COEF_2;POLI_JUSANTE_1_COEF_3;POLI_JUSANTE_1_COEF_4;POLI_JUSANTE_2_HREF;POLI_JUSANTE_2_COEF_0;POLI_JUSANTE_2_COEF_1;POLI_JUSANTE_2_COEF_2;POLI_JUSANTE_2_COEF_3;POLI_JUSANTE_2_COEF_4;POLI_JUSANTE_3_HREF;POLI_JUSANTE_3_COEF_0;POLI_JUSANTE_3_COEF_1;POLI_JUSANTE_3_COEF_2;POLI_JUSANTE_3_COEF_3;POLI_JUSANTE_3_COEF_4;POLI_JUSANTE_4_HREF;POLI_JUSANTE_4_COEF_0;POLI_JUSANTE_4_COEF_1;POLI_JUSANTE_4_COEF_2;POLI_JUSANTE_4_COEF_3;POLI_JUSANTE_4_COEF_4;POLI_JUSANTE_5_HREF;POLI_JUSANTE_5_COEF_0;POLI_JUSANTE_5_COEF_1;POLI_JUSANTE_5_COEF_2;POLI_JUSANTE_5_COEF_3;POLI_JUSANTE_5_COEF_4;POLI_JUSANTE_6_HREF;POLI_JUSANTE_6_COEF_0;POLI_JUSANTE_6_COEF_1;POLI_JUSANTE_6_COEF_2;POLI_JUSANTE_6_COEF_3;POLI_JUSANTE_6_COEF_4;CONJUNTO_1_NUM_MAQUINAS;CONJUNTO_1_POTENCIA_REF;CONJUNTO_1_VAZAO_REF;CONJUNTO_1_QUEDA_REF;CONJUNTO_1_TIPO_TURBINA;CONJUNTO_2_NUM_MAQUINAS;CONJUNTO_2_POTENCIA_REF;CONJUNTO_2_VAZAO_REF;CONJUNTO_2_QUEDA_REF;CONJUNTO_2_TIPO_TURBINA;CONJUNTO_3_NUM_MAQUINAS;CONJUNTO_3_POTENCIA_REF;CONJUNTO_3_VAZAO_REF;CONJUNTO_3_QUEDA_REF;CONJUNTO_3_TIPO_TURBINA;CONJUNTO_4_NUM_MAQUINAS;CONJUNTO_4_POTENCIA_REF;CONJUNTO_4_VAZAO_REF;CONJUNTO_4_QUEDA_REF;CONJUNTO_4_TIPO_TURBINA;CONJUNTO_5_NUM_MAQUINAS;CONJUNTO_5_POTENCIA_REF;CONJUNTO_5_VAZAO_REF;CONJUNTO_5_QUEDA_REF;CONJUNTO_5_TIPO_TURBINA;USINA_FIO_DAGUA_OFICIAL
34;PROMISSAO   ;1;3;35;35;1;32;1;1;0;34;264;0.008829;1293;0;0;0;1;2;1;1;2.12;5280;7408;5280;7408;379.7;384;379.7;384;358.7;67;369.694;-0.000524999;1.08E-06;-1.60E-10;7.93E-15;-33929.7;163.813;-0.192901;0;0;16;18;37;62;77;72;59;55;53;22;4;30;0;358.004;-0.000240967;5.60E-07;-1.23E-10;8.03E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;88;431;23.1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;NAVANHANDAVA;1;3;53;53;1;33;1;0;1;35;347;0.008829;1431;0;0;0;1;2;1;1;1.79;2720;2720;2720;2720;358;358;358;358;328;0;358;0;0;0;0;212;0;0;0;0;16;20;37;60;77;73;60;56;53;21;4;28;0;323.085;0.00431485;-2.13E-06;5.68E-10;-5.38E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;115.8;477;27.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
36;I. SOLT. EQV;1;5;37;37;1;28;1;1;0;36;4251;0.008829;11604;0;0;0;4;11;1;1;2.35;25467;34432;25467;34432;323;328;323;328;281.1;0;294.181;0.00205514;-5.66E-08;9.70E-13;-6.70E-18;-52393.8;115.69;0.435097;-0.000290376;-1.74E-06;16;25;39;58;79;74;65;63;58;18;5;26;0;279.88;9.57E-05;1.21E-08;-5.83E-13;7.60E-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;176;480;41.5;1;11;170;464;41.5;1;5;174;475;41.5;1;5;161.5;441;41.5;1;0;0;0;0;0;0
37;JUPIA       ;1;5;38;38;1;35;1;1;1;37;1551;0.008731;8344;0;0;0;1;9;1;1;1.39;3354;3354;3354;3354;280;280;280;280;257;0;280;0;0;0;0;327;0;0;0;0;18;27;42;58;79;71;60;60;58;14;8;28;0;253.441;0.00057866;1.44E-08;-1.42E-12;2.61E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;110.8;596;21.3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
38;P. PRIMAVERA;1;5;-1;-1;1;36;1;1;0;38;1540;0.009133;8904;0;0;0;1;11;1;1;0.36;14400;20000;14400;20000;257;259;257;259;239.2;0;239.17;0.002497;-1.26E-07;3.05E-12;-2.57E-17;-48569;279.49;-0.32318;0;0;9;18;27;37;68;63;43;37;38;-14;-13;10;0;234.498;0.000707983;-2.52E-08;4.65E-13;-3.26E-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;110;636;18.95;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;A.A. LAYDNER;1;6;7;7;1;37;1;1;0;39;100;0.008947;364;0;0;0;1;1;1;1;0.4;3843;7008;3843;7008;559.7;568;559.7;568;532.29;53;542.555;0.00636701;-6.75E-07;5.39E-11;-1.90E-15;-4.20E+06;22482.7;-401.091;0.0238662;0;25;24;42;64;76;67;51;41;31;9;-2;34;0;531.39;0.00404814;-1.40E-06;2.71E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;50.478;182;31;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;CHAVANTES   ;1;6;9;9;1;39;1;1;0;40;414;0.008731;644;0;0;0;1;2;1;1;1.34;5754;8795;5754;8795;465.23;474;465.23;474;398.7;34;437.472;0.0066313;-3.75E-07;1.06E-11;0;12734.1;-647.446;0.0816951;0;0;27;19;45;70;81;71;56;43;43;13;-6;18;0;397.028;0.00439642;-1.25E-06;1.79E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;103.5;161;73.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;L.N. GARCEZ ;1;6;42;42;1;40;1;0;1;41;73;0.008338;580;0;0;0;1;3;1;1;0.65;45;45;45;45;384.67;384.67;384.67;384.67;366.6;0;384.67;0;0;0;0;11.59;0;0;0;0;28;22;40;54;59;49;40;43;51;25;18;39;0;365.507;0.00204802;-9.79E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;18.45;145;15.3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
42;CANOAS II   ;1;6;43;43;1;41;1;0;1;42;72;0.008829;561;0;0;0;1;2;1;1;0.3;151;151;151;151;366;366;366;366;351.1;0;366;0;0;0;0;23.52;0;0;0;0;26;22;41;58;68;56;44;41;46;15;7;32;0;350.957;0.00137968;-8.06E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;24;187;14.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
43;CANOAS I    ;1;6;44;44;1;42;1;0;1;43;82;0.008928;567;0;0;0;1;2;1;1;0.3;212;212;212;212;351;351;351;351;333.8;0;351;0;0;0;0;29.11;0;0;0;0;22;22;41;59;71;61;45;40;44;11;2;27;0;333.377;0.00199413;-5.50E-07;8.25E-11;-4.56E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;27.5;189;16.3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
