;MES;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
0;1;0.09404513019230658;0.047143775249339534;0.030994597998557475;0.0025696481662279363;0.00599754004478829;0.054180858166993785;0.004409859998855768;0.01321195841276169;0.0032847659632445386;0.07059423626271324;0.0;0.3200092220350584;0.05562456241800697;0.011421575501989396;0.004288937046713982;0.013260113762495323;0.030567978829346892;0.07612402460143033;0.026842044844300812;0.016820576520937738;0.0006671015917368996;0.17593614155845727;0.10379835483450635;0.13958572804223313;0.12900467597556273;0.019636501110733676;0.11834343922599916;0.10705039841098861;0.03161483671793346;0.30066604247788037;0.5521412218630163;0.06569295526419948;0.1200304341628217;0.15238075279121416;0.06383482865188776;0.503207307738496;0.17048989661153457;0.3263027956499691;0.19687175494223424;0.09603416808227778;0.09042505058568717;0.0064425260927603815;0.014513898553510908;0.445272363016648;0.04082537070467245;0.10192024206010875;0.48573211389275095;0.0755164747343964;0.14474514264597083;0.08275236323875464;0.029386771190658134;0.1818671342974691;0.045919807266860714
1;2;0.07958706291729888;0.045426971216311784;0.02898518719031122;0.002727684105037608;0.0062630677557299974;0.05657633799563585;0.004827153527495895;0.013597172230722872;0.003545060822531342;0.061936961818942926;0.0;0.29045533581041827;0.05386718475084901;0.01282929368658667;0.00547261968965785;0.015687638026811713;0.03344312324027807;0.07854813724199627;0.026111389511241347;0.016814814902288516;0.0006830386177125744;0.2047095320203034;0.1198538677656144;0.13140802704017296;0.12458014362317685;0.01937468243927769;0.12282429429663805;0.1047475729627827;0.033213393296136505;0.31027546584806587;0.5332376465180125;0.06854211247732336;0.1176117781850049;0.15176456629963903;0.06382175025586113;0.47773386139712365;0.1596054904693241;0.36266064813355214;0.20829502265049465;0.09293890987782173;0.09373450866686317;0.0070579841796218215;0.0151234991391228;0.43040109755917666;0.04142802266498833;0.10264874091188361;0.5045787123670574;0.07614990125043544;0.13834104112043863;0.07987384969446608;0.029329057196696467;0.17172743837090604;0.06502214626415921
2;3;0.07645498068013111;0.04677002011690055;0.02894906050990107;0.0026565356940903453;0.005968810533306448;0.05695336000058656;0.005248806997375435;0.01390728211617997;0.0038124508898725756;0.05975224712364241;0.0;0.285442848952302;0.05382250791974056;0.013189173250412665;0.005716696592954481;0.015988477556838288;0.03385581695645469;0.07931414002330954;0.025360282116530176;0.015868477120361726;0.0006126772792407388;0.20935975336253074;0.12526192106555095;0.1260438516102138;0.11855941756511902;0.01851913866279626;0.12540591804208395;0.10494731574565258;0.032612016868520874;0.31870727253464837;0.5164458632214219;0.06760440939042758;0.11964955707109219;0.15685451670253195;0.06270555039316668;0.47475872384427414;0.14916541644788783;0.376075859707838;0.20724877069570327;0.0870367440690984;0.09928719076092796;0.007891133279030215;0.01642262796101256;0.4165471500992817;0.044674446355117;0.11183067889258076;0.5162698394604317;0.07530186949252668;0.13879319932165904;0.07291210259200553;0.030736925019758273;0.16598606411361874;0.07674010322135971
3;4;0.07479446889316008;0.046515094867273614;0.02826013278476929;0.0029326186892427784;0.006581686019622047;0.05955932520761278;0.0050377484419771345;0.014076740743455208;0.003821965645642694;0.05571527521226059;0.0;0.2718791352115651;0.0519294061561194;0.013933806857376774;0.006406953803974527;0.0172292374204173;0.035751919284943;0.08035393577258769;0.024294899934304913;0.014815245710412272;0.0006423333645406971;0.22138098133827325;0.1308724010400644;0.11861845369299429;0.11603532648812312;0.01948834593863193;0.12780162622523406;0.09908872923415284;0.03391683622735657;0.32712508388153133;0.4958946352872935;0.07040173532302393;0.13410407383263317;0.15142851408201782;0.05886619359355766;0.43371808306452264;0.15059057764916042;0.4156913392863169;0.19599225563784084;0.08610264648031835;0.10339736813848514;0.0082721081918953;0.017090895648046816;0.42094376092180413;0.045093395108214356;0.11424785578577505;0.4502311654994636;0.07597360784865335;0.14745517407045566;0.09312746834542386;0.031522363509726314;0.20169022072627701;0.08930484788147407
4;5;0.07532173301982507;0.04563933468074718;0.02673939065703344;0.002987617137408194;0.006718790536330611;0.05686594234023708;0.004236187223352852;0.013665599668304738;0.00349101165750157;0.058907599229411634;0.0;0.2765587020782312;0.051739920830145045;0.012639042754106707;0.005502098197769318;0.015203764834690051;0.0333341159396699;0.077429991862546;0.024787431572414836;0.015171315820173416;0.0006035291248346565;0.2262068585592058;0.1265938961769764;0.11616053787163591;0.12190756300856705;0.020371389051334253;0.1231677394387513;0.09876865326686698;0.03441317034966713;0.33259427199311614;0.5035584071824355;0.07190546230690349;0.14281881944317534;0.15662281914868692;0.055123664421594464;0.3951451949283199;0.1593440374496426;0.44551076762203773;0.17862474676231996;0.08705655371576568;0.09824518318871796;0.007653372315857098;0.01621662444731419;0.44602201075093767;0.044325226445478365;0.11412908349275457;0.4150493148189424;0.07419222381742407;0.14318342401460696;0.10232094190088106;0.033427791949413706;0.23182630349873173;0.0699708274972041
5;6;0.07438790056670821;0.04465626369744754;0.025906577482034815;0.0030163172320323522;0.006948512057769262;0.05351886145577195;0.004090753627636782;0.013105536413453174;0.003347150258760347;0.05989889832190533;0.0;0.2751452795010542;0.049290835068474;0.012005017932382303;0.005242030354845683;0.014351311976331039;0.03169168758913358;0.0731205477017845;0.02432659132015031;0.0153219905186996;0.0007063300125347513;0.23546206763270652;0.12904951150329;0.1157071321945161;0.12282791966341526;0.0211305472369826;0.11800793490380682;0.10183640765281635;0.03490671685284289;0.33843127315711097;0.49805131147804566;0.07210779269906872;0.1454115631833201;0.1547085767173058;0.05512846699345506;0.36742866543446717;0.16674434869693094;0.46582698586860216;0.1662695054515291;0.08471880842989098;0.09130510509036449;0.007125657094599848;0.015234225259017364;0.46660441218609433;0.0446580702969145;0.11664631230519218;0.4089921504673838;0.07532078667546264;0.14839729347831915;0.10872114861695648;0.03245835835575711;0.22611026240612092;0.07459228892880461
6;7;0.07610131959981918;0.04354993390568084;0.025163739560914635;0.003157533235486518;0.007131810744513679;0.051727711675307105;0.0040962871410341216;0.012745129004335897;0.0034165333846148554;0.06141200018073326;0.0;0.27370393874144155;0.04895338922828295;0.011600720129167134;0.005089656516857365;0.013961455642800763;0.030517294225294398;0.07083685517120555;0.024077713511277278;0.0156703618334178;0.0006096049417884072;0.23702701524487088;0.13043867503304304;0.11567096341025897;0.12602397688422667;0.021896397702805985;0.11555613187672839;0.09708522943675169;0.03643353970094084;0.343857902862049;0.49451631830930864;0.06940664872811411;0.1479651605978566;0.15939028892719018;0.053280771470172704;0.3728240575435071;0.18281066456465747;0.4443652778918355;0.16402113497779874;0.08227581968185327;0.08783903379153715;0.007052357269045788;0.014810340610277811;0.4732359998640977;0.04759608523103905;0.11565640804870171;0.42914940826397974;0.07486339957776715;0.14364858462420166;0.1039677159883176;0.034093733945688334;0.21427715760004556;0.07544081196735758
7;8;0.07674348432278756;0.04230573131392904;0.024248533826829063;0.0034722253878244676;0.007863913953824348;0.05043506314911516;0.004147444289493286;0.012404466723787597;0.0034566769571942094;0.06322852936449848;0.0;0.2638422027713747;0.04832050092882511;0.011022457249992347;0.004894948688043925;0.013213732059129993;0.029284617086273296;0.06775245331617812;0.02413953058574433;0.015953513422473555;0.0006429072285310573;0.24484582730904283;0.13611529566710473;0.11550579152163347;0.12644457099202577;0.023791711134575733;0.11218154929777047;0.09385758254242219;0.036795822157471125;0.35069303799879165;0.4846133982205461;0.07115743182039033;0.15099026085418746;0.16409672261088146;0.05206957591684319;0.3781100643246101;0.20103989731537902;0.420850038360011;0.16467911703482963;0.07937073222200361;0.0906133306125853;0.007232953018506551;0.015111868662645026;0.46505813312273386;0.04828796564123213;0.12204177843877635;0.44894220414361474;0.0761985421549966;0.1411169592351812;0.09077818657483296;0.033340766448964984;0.20962334144240968;0.07707261057715138
8;9;0.07876077848933052;0.040411189271354335;0.022972009148969505;0.0033304929472052517;0.007467490486478541;0.04865206588110401;0.0038047436765471336;0.012012752999566237;0.0033529392695640613;0.06701342351497731;0.0;0.2748691195812782;0.048659315102365285;0.009917355165674503;0.0041501412840055695;0.011494917270277426;0.027225310922136252;0.0651519813780022;0.024967343417189175;0.016628398151350657;0.0006393737682569475;0.23809857529838088;0.13242396665677514;0.11506498694852249;0.12812915445478396;0.024981494665784126;0.10755948567645841;0.09450422395762537;0.0366739567658726;0.35824069679627535;0.49422405695701804;0.06982951590714631;0.14936103380499946;0.1664860398254695;0.05250189441846092;0.3835829447936921;0.1947662774991042;0.42165077770720366;0.1628346765870832;0.08464668008794154;0.08718473575247869;0.006707767275716441;0.014409850511347641;0.47726877373988963;0.04533402855195281;0.11445580454747876;0.4659695275391635;0.07655950116030694;0.13983869395519535;0.09149550280167247;0.027895579823716092;0.19824119471994578;0.06759745908690573
9;10;0.08304489260637682;0.039722921582357296;0.023810898023813004;0.003059849672584152;0.006834078990209082;0.052053517985253525;0.003787921334942938;0.013053255101655123;0.003051552273014508;0.07056493535086925;0.0;0.28777690044819854;0.0485323299671039;0.009692276775581241;0.0036279403125773716;0.011186789810090317;0.026833400366326747;0.06662176181751883;0.02682667405005517;0.01656109440040853;0.0007063617279169555;0.2208368712785085;0.12718777108846777;0.11479926409033801;0.13098772668418446;0.024443385658699555;0.11051687127083311;0.09358764141177008;0.0325845612906807;0.35454602823762194;0.5236491532212965;0.06456569453640289;0.14028093967473657;0.1538649260798278;0.05486333024391006;0.3883753504130958;0.1836932190682727;0.4279314305186313;0.15852286244966662;0.08269863678806215;0.07977393028749348;0.00637439094693151;0.01346945449608472;0.4910812028003472;0.047006128650870484;0.1142339199725863;0.4492241803370602;0.07440902525896488;0.13343891771350555;0.09932806399453188;0.03396282277925574;0.20963698991668184;0.06277595624382637
