idSubmercado;AttMatriz;Iteradores;1
2;percentual_variacao_patamar_carga;10/01/2023;1.2159
2;percentual_variacao_patamar_carga;11/01/2023;1.2344
2;percentual_variacao_patamar_carga;12/01/2023;1.226
2;percentual_variacao_patamar_carga;01/01/2024;1.2207
2;percentual_variacao_patamar_carga;02/01/2024;1.2177
2;percentual_variacao_patamar_carga;03/01/2024;1.2402
2;percentual_variacao_patamar_carga;04/01/2024;1.2011
2;percentual_variacao_patamar_carga;05/01/2024;1.206
2;percentual_variacao_patamar_carga;06/01/2024;1.2117
2;percentual_variacao_patamar_carga;07/01/2024;1.1917
2;percentual_variacao_patamar_carga;08/01/2024;1.1939
2;percentual_variacao_patamar_carga;09/01/2024;1.2133
2;percentual_variacao_patamar_carga;10/01/2024;1.1971
2;percentual_variacao_patamar_carga;11/01/2024;1.2344
2;percentual_variacao_patamar_carga;12/01/2024;1.2225
3;percentual_variacao_patamar_carga;01/01/2020;1.1094
3;percentual_variacao_patamar_carga;02/01/2020;1.1097
3;percentual_variacao_patamar_carga;03/01/2020;1.0967
3;percentual_variacao_patamar_carga;04/01/2020;1.0992
3;percentual_variacao_patamar_carga;05/01/2020;1.0973
3;percentual_variacao_patamar_carga;06/01/2020;1.0867
3;percentual_variacao_patamar_carga;07/01/2020;1.0842
3;percentual_variacao_patamar_carga;08/01/2020;1.0948
3;percentual_variacao_patamar_carga;09/01/2020;1.0987
3;percentual_variacao_patamar_carga;10/01/2020;1.0995
3;percentual_variacao_patamar_carga;11/01/2020;1.1194
3;percentual_variacao_patamar_carga;12/01/2020;1.1033
3;percentual_variacao_patamar_carga;01/01/2021;1.1162
3;percentual_variacao_patamar_carga;02/01/2021;1.1089
3;percentual_variacao_patamar_carga;03/01/2021;1.0921
3;percentual_variacao_patamar_carga;04/01/2021;1.099
3;percentual_variacao_patamar_carga;05/01/2021;1.0957
3;percentual_variacao_patamar_carga;06/01/2021;1.0863
3;percentual_variacao_patamar_carga;07/01/2021;1.0858
3;percentual_variacao_patamar_carga;08/01/2021;1.0931
3;percentual_variacao_patamar_carga;09/01/2021;1.0989
3;percentual_variacao_patamar_carga;10/01/2021;1.104
3;percentual_variacao_patamar_carga;11/01/2021;1.1194
3;percentual_variacao_patamar_carga;12/01/2021;1.1007
